AC,ENG,Flight,Leg_flight_H,Volume_L
AC01,Left,0,1.6197222222222223,2547.848841592868
AC01,Right,0,1.6197222222222223,2556.003955911407
AC01,Left,1,1.6980555555555557,2652.136497337344
AC01,Right,1,1.6980555555555557,2653.7501720759647
AC01,Left,2,1.548888888888889,2326.615380903093
AC01,Right,2,1.548888888888889,2325.4054987311333
AC01,Left,3,1.4452777777777779,2064.6975758301314
AC01,Right,3,1.4452777777777779,2060.2050096440157
AC01,Left,4,0.9925,1555.6661976004398
AC01,Right,4,0.9925,1558.6198654491675
AC01,Left,5,0.7086111111111111,1163.1319659086473
AC01,Right,5,0.7086111111111111,1166.3533332737916
AC01,Left,10,1.5255555555555556,2211.2548356639445
AC01,Right,10,1.5255555555555556,2226.440427226467
AC01,Left,11,1.3991666666666667,2061.163643107831
AC01,Right,11,1.3991666666666667,2081.326351936463
AC01,Left,12,1.446388888888889,2115.5216002205952
AC01,Right,12,1.446388888888889,2128.616443604627
AC01,Left,13,1.7761111111111112,2663.020950300908
AC01,Right,13,1.7761111111111112,2681.958821677334
AC01,Left,14,1.686388888888889,2493.5028487043014
AC01,Right,14,1.686388888888889,2511.2742082214827
AC01,Left,15,1.68,2428.8182705811746
AC01,Right,15,1.68,2450.062246171645
AC01,Left,16,1.7205555555555556,2355.1560377259398
AC01,Right,16,1.7205555555555556,2365.9328126717282
AC01,Left,17,1.7925,2665.1296448156963
AC01,Right,17,1.7925,2681.0450540542597
AC01,Left,18,1.6055555555555556,2336.590552827657
AC01,Right,18,1.6055555555555556,2349.117095562313
AC01,Left,19,1.3752777777777778,2118.5620086947542
AC01,Right,19,1.3752777777777778,2136.0940837279877
AC01,Left,20,1.031388888888889,1626.5557214979326
AC01,Right,20,1.031388888888889,1627.0612099702716
AC01,Left,21,1.936388888888889,2942.434937734511
AC01,Right,21,1.936388888888889,2960.1105834581135
AC01,Left,22,2.2913888888888887,3347.5375869456493
AC01,Right,22,2.2913888888888887,3374.5019572304914
AC01,Left,23,1.6391666666666667,2481.8123061354377
AC01,Right,23,1.6391666666666667,2496.166384116243
AC01,Left,24,2.0591666666666666,2978.647653323927
AC01,Right,24,2.0591666666666666,2991.4688150794427
AC01,Left,25,1.4466666666666668,2221.4109664794937
AC01,Right,25,1.4466666666666668,2233.0566432076175
AC01,Left,26,1.753611111111111,2507.9092701659692
AC01,Right,26,1.753611111111111,2521.557458919129
AC01,Left,27,1.5475,2337.552177347521
AC01,Right,27,1.5475,2346.4176674777796
AC01,Left,28,1.2819444444444446,1897.8789023180577
AC01,Right,28,1.2819444444444446,1907.8062173458327
AC01,Left,29,1.298888888888889,1963.7913089494405
AC01,Right,29,1.298888888888889,1977.5352114961793
AC01,Left,30,0.9425,1510.5939739928656
AC01,Right,30,0.9425,1524.761110970586
AC01,Left,31,0.7433333333333333,1173.7786299162897
AC01,Right,31,0.7433333333333333,1178.5807704035124
AC01,Left,32,3.1333333333333333,4470.043534064073
AC01,Right,32,3.1333333333333333,4496.444090283613
AC01,Left,33,3.071388888888889,4124.733590807359
AC01,Right,33,3.071388888888889,4150.755778436658
AC01,Left,34,1.4844444444444445,2284.5521596811595
AC01,Right,34,1.4844444444444445,2293.142472654877
AC01,Left,35,1.5455555555555556,2541.7605470044277
AC01,Right,35,1.5455555555555556,2556.7696662600392
AC01,Left,36,2.438888888888889,3578.7566882561623
AC01,Right,36,2.438888888888889,3604.0236342330018
AC01,Left,37,2.8944444444444444,3668.436026255638
AC01,Right,37,2.8944444444444444,3707.0326135163814
AC01,Left,38,1.4544444444444444,2218.221005202868
AC01,Right,38,1.4544444444444444,2239.4963868818563
AC01,Left,39,1.7030555555555555,2522.4742175982537
AC01,Right,39,1.7030555555555555,2541.072604113079
AC01,Left,40,1.9972222222222222,3095.0565637083714
AC01,Right,40,1.9972222222222222,3115.4765033572457
AC01,Left,41,2.0927777777777776,3107.2765231979683
AC01,Right,41,2.0927777777777776,3126.3684339609345
AC01,Left,42,2.088611111111111,2953.584099158443
AC01,Right,42,2.088611111111111,2975.290192908538
AC01,Left,43,1.8133333333333332,2643.460939266219
AC01,Right,43,1.8133333333333332,2659.165479053303
AC01,Left,44,1.4183333333333332,2153.829550572577
AC01,Right,44,1.4183333333333332,2166.218504728962
AC01,Left,45,1.5930555555555554,2298.2751248355526
AC01,Right,45,1.5930555555555554,2315.74438769175
AC01,Left,46,1.8455555555555556,2715.2283381141942
AC01,Right,46,1.8455555555555556,2728.676126112048
AC01,Left,47,2.0211111111111113,2957.4440569901226
AC01,Right,47,2.0211111111111113,2969.9840594769994
AC01,Left,48,2.306111111111111,3441.1441815379158
AC01,Right,48,2.306111111111111,3457.744542611777
AC01,Left,49,2.4758333333333336,3669.1688349877277
AC01,Right,49,2.4758333333333336,3686.5782767229375
AC01,Left,50,0.8422222222222222,1343.4941412121536
AC01,Right,50,0.8422222222222222,1354.59993232337
AC01,Left,51,1.9627777777777777,2888.9787840206245
AC01,Right,51,1.9627777777777777,2909.460040318512
AC01,Left,52,2.2197222222222224,3265.585642249656
AC01,Right,52,2.2197222222222224,3286.105782276185
AC01,Left,53,2.341388888888889,3420.2052936644777
AC01,Right,53,2.341388888888889,3445.3002539184795
AC01,Left,54,2.442222222222222,3494.7723209746396
AC01,Right,54,2.442222222222222,3521.283546268006
AC01,Left,55,2.4905555555555554,3574.1011095153576
AC01,Right,55,2.4905555555555554,3603.651247754858
AC01,Left,56,2.206111111111111,2954.611526911394
AC01,Right,56,2.206111111111111,2970.597225967116
AC01,Left,57,2.9633333333333334,4325.478317559125
AC01,Right,57,2.9633333333333334,4356.063361191697
AC01,Left,58,2.4375,3653.9024849118723
AC01,Right,58,2.4375,3675.9645143318385
AC01,Left,59,2.0613888888888887,3110.752130327307
AC01,Right,59,2.0613888888888887,3116.188374696991
AC01,Left,60,1.3711111111111112,2007.31266999543
AC01,Right,60,1.3711111111111112,2025.3068631882873
AC01,Left,61,1.333888888888889,2157.7612937494405
AC01,Right,61,1.333888888888889,2174.0460984100973
AC01,Left,62,1.9258333333333333,2908.0602260874184
AC01,Right,62,1.9258333333333333,2938.7080818970285
AC01,Left,63,2.3141666666666665,3375.767173939365
AC01,Right,63,2.3141666666666665,3396.309746886263
AC01,Left,64,2.4769444444444444,3656.144281420857
AC01,Right,64,2.4769444444444444,3672.9794403945925
AC01,Left,65,2.643611111111111,3347.1607138834324
AC01,Right,65,2.643611111111111,3368.3762744414335
AC01,Left,66,0.9227777777777778,1454.2544422474105
AC01,Right,66,0.9227777777777778,1462.6892203065618
AC01,Left,67,0.8119444444444445,1256.6772438519008
AC01,Right,67,0.8119444444444445,1273.9311506725453
AC01,Left,68,1.7297222222222222,2371.5948817731373
AC01,Right,68,1.7297222222222222,2390.7690465774617
AC01,Left,69,1.7108333333333334,2507.936189670414
AC01,Right,69,1.7108333333333334,2518.9402848759532
AC01,Left,70,0.8969444444444444,1291.7458805024423
AC01,Right,70,0.8969444444444444,1301.9139755421888
AC01,Left,71,0.8730555555555556,1302.7709131003262
AC01,Right,71,0.8730555555555556,1313.537219349942
AC01,Left,72,2.414722222222222,3565.570617662628
AC01,Right,72,2.414722222222222,3587.876418150615
AC01,Left,73,2.4497222222222224,3598.551497190727
AC01,Right,73,2.4497222222222224,3620.5626786578523
AC01,Left,74,1.9869444444444444,2911.5418153288556
AC01,Right,74,1.9869444444444444,2927.2613103961858
AC01,Left,75,2.1994444444444445,3194.0006978206907
AC01,Right,75,2.1994444444444445,3215.5692029925144
AC01,Left,76,2.84,4013.093919293596
AC01,Right,76,2.84,4046.1376109987295
AC01,Left,77,2.497777777777778,3690.4935690915304
AC01,Right,77,2.497777777777778,3723.827393233451
AC01,Left,78,1.3869444444444445,2084.7615798091356
AC01,Right,78,1.3869444444444445,2105.651115257758
AC01,Left,79,1.3472222222222223,1858.9862005084296
